CSTRAT,ELAB,MEMO,READING,ESCS,GENDER,IMMIGR
-3.4531,-2.4098,-3.0191,377.08,-0.8316,0,1
1.6056,1.9347,0.6832,527.15,-0.1928,1,0
-0.2945,0.0385,0.1036,380.76,-3.0864,0,1
-0.5485,0.0385,0.0682,433.72,0.297,1,1
2.504,0.3277,0.9843,538.43,-0.1281,1,1
-0.5485,0.0385,-0.2055,343.73,-1.2592,0,1
1.6056,1.9347,1.7893,479.8,-1.7155,1,1
-2.5423,-2.4098,-1.9702,413.63,-0.0693,1,0
-0.7762,0.0385,-0.5436,491.23,0.4966,0,1
-0.2945,-0.2743,-0.2055,486.07,-0.1648,1,0
-0.0411,0.3277,-0.2055,435.84,0.8288,0,0
1.6056,1.9347,-0.2055,542.4,-0.7079,1,1
-1.0786,-0.6208,0.395,444.18,-0.6811,0,9999
-1.0786,-0.2743,-0.2055,344.13,-0.5006,0,1
0.4861,0.6034,-1.3817,575.68,-2.1308,1,1
1.1341,0.3277,2.6934,536.21,-0.8599,0,1
0.4861,0.3277,0.1036,446.02,-0.9581,0,0
-2.0532,-2.4098,-1.9702,490.67,-2.3039,0,1
0.2159,0.3277,1.7893,435.52,0.0831,0,0
-1.0786,-0.6208,-0.9276,507.76,-1.5871,1,1
-1.3664,-0.2743,-0.9276,519.77,-3.4232,0,1
0.2159,0.8778,0.395,423.09,-2.0009,0,1
-0.8077,0.3277,0.1036,324.1,-1.5499,1,9999
0.4861,0.0385,-0.5436,548.36,-1.0183,1,1
2.504,2.7571,2.6934,368.9,-0.0448,0,1
-0.5485,0.6034,-0.5436,521.58,-0.3719,1,0
0.2159,0.6034,-0.5436,676.02,1.1069,1,0
0.0965,0.8778,0.6832,417.12,9999,1,0
2.504,0.0385,0.9843,646.46,1.104,1,0
1.2702,9999,2.1717,501.01,0.6284,1,0
0.4861,0.0385,0.1036,444.29,1.3179,1,0
0.4861,-0.2743,0.395,401.79,0.3673,1,0
-0.5485,0.8778,-0.2055,591.17,0.3247,1,0
-3.4531,-2.4098,-3.0191,401.71,-1.2923,1,0
1.1341,0.0385,0.1036,661.4,-0.1424,1,1
-0.5485,-1.5227,0.6832,464.15,0.1202,1,0
-1.3664,-1.0185,-0.5436,397.18,-0.0368,1,0
-0.5485,-0.2743,-0.5436,486.15,0.3226,1,0
-1.0523,-0.2743,-0.5436,402.11,0.5569,1,0
0.4861,0.0385,0.9843,602.06,0.5788,1,0
-0.5485,-1.0185,-0.5436,604.59,1.0277,0,0
1.1341,0.3277,-1.3817,592.33,0.3395,0,0
-3.4531,-2.4098,-3.0191,443.62,0.1065,0,0
-0.5485,0.3277,0.6832,476,-1.0216,0,0
-0.2945,0.3277,-0.2055,467.59,0.3104,0,0
2.504,2.7571,2.6934,425.66,-0.6159,0,0
-0.5485,0.6034,0.1036,498.77,0.9548,0,0
-0.5485,-0.2743,-0.5436,562.5,1.1721,0,0
-1.0786,-0.6208,-1.9702,433.51,-1.2202,0,0
1.6056,-0.2743,1.3297,639.78,0.6052,0,0
-0.5485,0.6034,-1.3817,554.73,1.6908,0,0
-0.0411,-2.4098,-1.9702,591.04,-0.1512,0,0
0.2159,-0.2743,-0.5436,702.15,1.1931,0,0
-2.0532,-1.5227,-1.9702,409.95,-0.116,0,0
-0.0411,0.3277,-0.5436,397.44,-0.5066,0,0
-1.6827,-2.4098,-0.2055,490.67,0.0691,0,0
-0.8077,0.8778,0.1036,409.38,-0.1797,0,0
0.2159,0.8778,0.395,414.5,-2.969,1,1
-0.0411,-0.6208,-0.5436,390.98,-0.3397,1,1
0.4861,1.4986,1.3297,457.32,-0.0475,1,0
-0.0411,-0.6208,0.1036,378.04,-0.4055,1,0
-0.8077,-1.0185,-0.2055,466.61,-0.0984,1,1
0.4861,0.8778,0.395,503.71,-0.0529,1,0
-0.2945,-0.6208,-0.5436,416.09,-1.783,1,1
0.4861,-1.5227,-0.5436,312.74,0.342,1,0
1.6056,0.3277,1.3297,398.69,0.3457,1,1
0.4861,0.8778,-0.2055,669.34,-0.9715,1,0
0.4861,0.8778,0.395,399.01,-0.4055,1,0
-1.6827,-2.4098,-1.3817,412.91,-0.8286,1,1
-0.8077,0.8778,-1.9702,615.88,0.9041,1,0
0.4861,-1.0185,-1.9702,559.95,0.6324,1,0
0.4861,1.1676,0.6832,318.3,-2.7343,1,1
-1.6827,-1.0185,-0.5436,464.71,-0.5644,1,0
0.7826,0.8778,0.9843,372.63,-1.8383,1,1
0.4861,0.6034,0.6832,379.16,0.6316,0,0
-2.0532,-2.4098,-3.0191,340.92,0.0688,0,0
-0.5485,0.3277,-0.2055,288.33,-1.7587,0,0
0.2159,2.7571,0.395,422.29,-0.0206,0,0
-3.4531,-2.4098,-3.0191,460.13,-1.211,0,1
-3.4531,-2.4098,-3.0191,510.64,-0.2632,0,1
-1.0786,0.0385,-0.9276,409.87,-0.8659,0,1
-1.0786,-0.2743,-0.5436,369.7,-1.0711,0,0
0.2159,0.8778,0.6832,442.25,0.606,0,0
-1.3664,-0.2743,-0.5436,292.1,-0.0212,0,0
-0.5485,0.0385,0.1036,298.83,0.7372,0,0
-0.2945,0.3277,0.1036,517.93,0.2553,0,0
-0.0411,0.0385,0.1036,424.05,0.0688,0,0
0.2159,0.3277,0.395,394.55,0.028,0,0
-1.0786,-0.6208,-1.3817,487.95,-1.4836,0,1
-0.5485,-0.2743,1.7893,573.17,-1.3166,0,1
